"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"L_Mapping_q_sd",-0.00656982855047495,0.0197873441621101,0.0197873441621087,-0.0114228956122816,0.0165376648711036,-0.0065902394543021,0.0124657320271297,0.0279306653683968,0.027930665368397,-0.0114228956122814,0.00299035065954554,0.00301548745059399
"LM_Insert",0.000118969177227358,0.00589967035259093,0.000118969177227523,-0.0120746481536644,0.0451126974988137,0.00444899353362219,0.000118969177236762,0.0058996703525914,-0.00178399767780151,-0.0199177691859539,-0.0107980490776652,0.0112972588736511
"LM_Soft_90_percentile",0.0365535187158078,0.00124440016228072,0.00124440016232873,-0.0210289237147959,0.00811853102437816,-0.00685462554160544,0.0122046673639265,0.0226243595543345,0.0226243595543312,-0.0294310398023635,0.00124440016232865,0.00483393194026491
"M_Cov",0.00904447619798431,-0.125360075406824,0.00276749182737629,0.00339951377731602,0.00339951377731058,0.00904447619798421,-0.0163889218342467,-0.136290813808103,-0.0118526699391078,0.00339951377731152,0.0263186523992285,-0.00481792124185354
"M_Soft_90_percentile",0.00234888356159624,0.00352865250331813,0.00352865250329878,-0.00743353611503023,0.0197933683995188,0.00234888356158464,0.0139161086970026,0.0263941340264293,0.0235284442453955,-0.00743353611502947,-0.00745501875806525,0.00128721055822006
"M_Ins_10_percentile",0.000649896689298611,-0.00071995580601199,-0.00401476165416529,0.0202174152164935,-0.00109158852024678,-0.000719955806012683,-0.00451662130700654,-0.000719955806012908,-0.000719955806012361,-0.0016801204329601,-0.00253056038707592,-0.00345603178687683
"RM_Cov_pro",-0.00167799606019115,0.00191700688849216,0.00292226170645785,0.00191700688849449,9.21465610343855e-05,-0.0142847457671807,0.0206466150638203,0.0206466150638201,0.00597028644935808,-0.000887092136653982,0.00292226170645772,-0.00258289237020762
"RM_Dis_map",0.01418460659575,0.00172498740968616,0.00139512042662289,0.00172498740968625,0.00714853787040815,0.00745269192264346,0.000244919871219708,0.0379891135855484,0.0141846065957494,-0.00819634009452812,-0.00747101733263125,0.00172498740968626
"R_Soft_pro",0.0169691843784811,0.0102257530313887,-0.00136054095279977,-0.0159116277348597,0.0152814350608627,0.0082366115128961,0.0102257530313882,0.0244371576660655,0.0244371576660648,0.000571684271285664,0.00823661151288407,-0.0010541838873069
"R_Ins",-0.000492227086619692,0.000493904195670313,-0.000492227086618373,0.0109644761231851,0.000493904195630517,-0.000223570228720536,0.018796016559536,0.0187960165595354,0.00519626720114892,-0.00391334548630093,0.00999691668566952,-0.00286441201858236
"R_Ins_sd",0.00810909015805886,0.00524691764731783,0.00400990664889217,0.00524691764733234,0.00524691764733249,0.00254866407433969,0.0151602973663209,0.0146920960995795,0.0146920960995815,-4.61583870835216e-05,0.00859182938230132,-0.0010140500190383
"L_Soft_pro",0.0188114726034947,0.00462087911956002,0.0111113514792067,-0.0286403715931802,0.00462087911957205,0.0046208791195789,0.0121606264397823,0.0188114726034856,0.0344093711783094,-0.007740279037938,0.00462087911957974,0.00485447033109112
"L_Del",-0.00663526912996417,5.08627478550476e-05,0.0191950294272621,5.08627478548594e-05,-0.00029675255007091,-0.0154625932818933,0.0113307624449364,0.0311898410023996,0.0311898410024006,5.0862747854845e-05,-0.00663526912996396,-0.00517323659541702
"L_Del_sd",0.000673823773437606,0.000673823773443641,0.0172492364814543,0.00180348152366616,0.000673823773437777,-0.0118190755291933,0.0101214663601094,0.0172492364814542,0.0320589154770639,0.00067382377344329,-0.00431558046400679,-0.00514510559622015
"L_Ins",0.0202834710966487,0.00906671374014859,0.00475640095945955,0.00565883773881445,0.00906671374014347,-0.0132887361521222,0.0216817175975416,0.00906671374013851,0.00565883773881606,0.00565883773881306,0.00745773753038055,-0.0154792172289643
"L_Diff_10_percentile",0.0031310206326935,-0.00485561295888561,-0.0193200608630349,0.0141292778266541,-0.00485561295888475,0.00313102063269332,-0.00485561295888454,-0.0278162212459531,-0.027816221245953,-0.00191087575973785,0.0147546698789803,-0.0023988983972848
"LM_Dis_map",0.00636129300337086,-0.00201925665550506,0.00832545061777091,-0.00201925665546425,0.0597744936864991,-0.00340756348609482,0.00300390862408741,-0.00201925665551883,0.00636129300330918,-0.0114859037600476,0.00636129300331219,-0.0147444241954488
"LM_Dis_unmap_ratio",0.0404249518281407,0.0020006814487282,-0.0111747060215334,0.00678242616137007,0.0220646683155857,0.0020006814487494,0.00616157594028778,0.0533564782522076,0.00678242616137171,-0.00974628176693144,0.00678242616137308,0.00200068144874926
"LM_Soft_pro",0.036575050799519,-0.0131345279912306,0.00308834974512777,-0.0131345279912303,-0.0105016384492606,-0.00631963367184595,0.0162507665547544,0.0162507665547517,0.0365750507994926,-0.013134527991165,-0.00473127330996601,0.00310003802754139
"M_Insert_sd",-0.066343152922991,0.00502927772186961,0.0128629842016374,0.00502927772189335,0.0278461402256714,0.0148241558421489,-0.00168241062253582,0.00502927772188443,0.00502927772189779,0.00502927772189766,-0.0275357002160038,0.0200624988117679
"M_Soft",0.0208297626332181,-0.00847825775618872,0.00321464407479189,-0.0107291391036458,0.0167010270334363,-0.00198019563308476,0.0175162244834319,0.0359585426997348,0.0359585426997371,-0.00847825775617842,-0.00847825775617615,-0.00198019563308471
"M_Del",-0.00664295182233066,-0.00366363569309468,0.0145125094412986,0.00661692283018932,-0.00366363569309491,-0.00952114822432259,0.00217259196948561,0.0145125094412993,0.0278664304007887,-0.000381527392856572,-0.00664295182234414,-0.00366363569309491
"M_Del_90_percentile",-0.000595735539945676,0.000184353530027965,0.00816890450022626,0.00443368840748013,0.000184353530010498,-0.00800132657563847,0.00428479548961078,0.0042847954895952,0.00816890450022629,-0.000595735539940806,9.67657143370901e-05,-0.00373172028692072
"M_Ins_90_percentile",0.0208562765431322,0.018693190741236,-0.000964657705237394,0.0186931907412076,0.0186931907412089,-0.0167461169195992,0.0186931907412076,0.0474660750438123,0.0186931907412081,-0.00712513706602239,-0.00623591513012813,-0.0132250408033084
"M_Diff_sd",0.00603502961260677,0.00603502961245172,0.012691756166723,0.00669037518602394,0.00669037518602809,-0.0122539889959849,0.00603502961256151,0.0126917561667223,0.0413121562796609,0.00589092223869618,-0.00583902012930012,0.000875655716613223
